FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_A_UV_280,DL,PAB_L,PAB_L_ERR,SIGMA_1,PAB_SFR,PAB_SFR_ERR,UV_SFR_ERR,PAB_SFR_EX2,PAB_SFR_EX2_ladder,PAB_SFR_EX2_ERR,PAB_SFR_LL,PAB_SFR_EX2_LL,PAB_SFR_LL_1SIGMA,PAB_SFR_EX_LL_1SIGMA,FIELD_x,RA,DEC,Z_50_x,FIELD_y,Z_50_y,restUjohnson,restVjohnson,PAB_FLUX_LIMIT,PAB_L_LIMIT,PAB_SFR_LIMIT,PAB_SFR_EX2_LIMIT,RAND,PAB_FLUX_LIMIT_RAND,PAB_L_LIMIT_RAND,PAB_SFR_LIMIT_RAND,PAB_SFR_EX2_LIMIT_RAND,PAB_SFR_EXCESS_LIMIT_RAND,ROLL_STD,ROLL_MAD,EXCESS_DIS_FIT,ROLL_MAD_FIT_TOP,ROLL_MAD_FIT_BOT,id,sfrratio,sfrratio_calz,calzfactor,sfrratio_mw,mwfactor,SFR_RAND
,41139,53.12912177715047,-27.71829625402348,,0.0936961465646792,9.18367930394326,0.621906545277457,12973.684349090976,41139,9.36746,9.875,0.7673,0.0699253,0,0.227508,0.00489833,1.1,0.330002,0.483696,,,0,0.01005,-1.0,2,0.0197,4.03,3.488e-05,1.555e-05,1.9331e-05,1.52,9.36746,0.332132,-21.8548,-1.1609,1.513,52.33055360722287,,,,,,,,,,,,,,GS5,53.12912177715047,-27.71829625402348,0.0119878587434459,GS5,0.0119878587434459,-19.805021,-20.514837,0.621906545277457,2.0376435547888305e+36,-3.710871784867038,-4.682493632155546,1.868090654563764,1.1617778052448535,3.8065028820330994e+36,-3.439473837051388,-4.411095684339895,-4.411095684339895,,4.411095684339895,-5.086845698823192,5.762595713306488,-4.411095684339895,41139,-4.68,-4.42,1.84,-4.44,1.76,-8.256960693171838
,41160,53.13080393663757,-27.71771106635111,,0.0416017183343964,0.10116923096302,0.439209533196578,13748.816469356783,41160,0.00150853,11.49,1.9411,0.247065,0,0.023742,0.0010616,0.0,0.124268,0.599591,,,-1,-1.0,-1.0,0,0.01,5.48,-99.0,-99.0,-99.0,0.14,0.00150853,0.00169308,-0.0397656,5.0433,1.462,330.7161088506588,,,,,,,,,,,,,,GS5,53.13080393663757,-27.71771106635111,0.0724505826331345,GS5,0.0724505826331345,-12.262649,-14.057204,0.439209533196578,5.74744582316151e+37,-2.26052511380604,0.5609209348218962,0.3359083951093597,0.1475341694127935,1.930615302436176e+37,-2.7343042558288886,0.0871417927990472,0.0871417927990472,,2.249118738569471,-0.2491854770963084,3.004342857855105,-2.331688318064394,41160,0.56,0.56,1.0,0.56,1.0,0.18810870126124146
,37545,53.19731246599999,-27.736315158,,0.3474632136457164,0.334174513274813,0.387822256207983,13962.635624183364,37545,0.000315328,2.643,0.6788,0.0630111,2,0.018,0.000574049,0.0,0.151115,0.628916,,,-1,0.0183,-1.0,3,0.0183,5.89,1.664e-05,1.0268e-05,6.3719e-06,0.07,0.000315328,0.000357742,-0.00812888,5.1119,1.462,411.62075620767786,,,,,,,,,,,,,,GS3,53.19731246599999,-27.736315158,0.0891291438520565,GS3,0.0891291438520565,-10.615256,-12.145532,0.387822256207983,7.861758341695567e+37,-2.1244803098521245,1.3767571538890793,0.0822453750331303,0.0318965869080203,6.465932632325924e+36,-3.2093688245561296,0.2918686391850742,0.2918686391850742,,0.2918686391850742,0.0515160763801014,0.4895380399012812,-0.0088329142913357,37545,1.38,1.38,1.0,1.38,1.0,0.1134986175457198
,26881,53.18077776300719,-27.7862553600029,,0.0247850470755928,0.229275116708202,0.308107112312888,14819.358876912296,26881,0.00877614,0.008715,0.5647,0.0238367,0,0.119856,0.00124624,0.1,0.417791,0.574998,,,-1,0.0716,-1.0,3,0.0716,6.13,0.0044701,0.001031,0.0034391,0.12,0.00877614,9.06078e-05,-0.0276628,-2.2259,0.0,752.71546230515,,,,,,,,,,,,,,GS4,53.18077776300719,-27.7862553600029,0.155956230648385,GS4,0.155956230648385,-13.456512,-13.966217,0.308107112312888,2.0886026642247142e+38,-1.70014417234502,0.3565522850183047,0.2835195163633108,0.0873543794710463,5.921596172361136e+37,-2.247561212970893,-0.1908647556075688,-0.1908647556075688,,0.2413666973963215,-0.3750370020669512,0.4962834860410123,-0.1279389931222473,26881,0.36,0.38,1.06,0.38,1.05,0.1077374162180581
,33042,53.13310297800124,-27.75870335399942,,0.2082327232752248,0.4041184821718169,0.565306813788365,13017.63107720324,33042,4.49878,9.609,0.3586,0.00525275,1,0.018936,8.44731e-05,0.0,5.66787,12.3065,,,0,-1.0,0.0,0,0.0858,6.15,-99.0,-99.0,-99.0,0.4284,4.49878,0.682511,-0.69112,-1.0644,0.97,67.4724600090793,,,,,,,,,,,,,,GS3,53.13310297800124,-27.75870335399942,0.0154158406554789,GS3,0.0154158406554789,22.671574,21.543862,0.565306813788365,3.079142148105444e+36,-3.531570261498622,-4.184665017250952,0.0766395639973689,0.0433248677334821,2.359841117167232e+35,-4.647117236123272,-5.300211991875601,-5.300211991875601,,0.2918686391850742,-5.479702545306184,0.5545275554975343,-0.1955464486363681,33042,-4.18,-4.18,1.0,-4.18,1.0,-0.320353377509002
,44048,53.09674802400001,-27.704334493,,0.0176215595277917,0.899875055285953,0.316111456055713,16000.840684377104,44048,0.00465686,0.005219,2.2317,0.61284,0,0.32352,0.0438399,0.0,0.141628,0.338732,,,-1,0.0713,-1.0,3,0.0713,6.33,-99.0,-99.0,0.0010067,0.17,0.00465686,0.000465233,-0.0633679,-1.8955,0.429,1264.7275203290517,,,,,,,,,,,,,,GS5,53.09674802400001,-27.704334493,0.2481154980013341,GS5,0.2481154980013341,-13.050036,-13.993828,0.316111456055713,6.049599193199765e+38,-1.2382733979008975,1.093633420241397,0.6306219672771203,0.1993468282966886,3.8150101444537145e+38,-1.438504302879636,0.8934025152626588,0.8934025152626588,,0.5926355772238665,0.7560471990912683,0.7028974167505002,-0.4281867844077192,44048,1.09,1.09,1.0,1.09,1.0,0.6873779443320611
,40131,53.17073665500001,-27.72192978499999,,0.0335828090765544,79.0533145678541,10.2611451910399,15888.656855345607,40131,0.0102775,0.01035,3.4956,0.15648,1,0.945852,0.0332668,1.4,1.17715,3.22215,,,0,0.0355,-1.0,3,0.0355,6.34,0.004018,0.00022223,0.0037957,0.1,0.0102775,9.38987e-05,-0.0181454,-2.0154,0.305,1214.1553731157485,,,,,,,,,,,,,,GS3,53.17073665500001,-27.72192978499999,0.2393648093093297,GS3,0.2393648093093297,-13.857856,-15.01744,10.2611451910399,1.8098258798098471e+40,0.2376367941646151,2.225749308712228,0.5028814171580428,5.16013923533458,9.101278032480776e+39,-0.0608976182853027,1.92721489626231,1.92721489626231,,0.8934025152626588,1.7922004266053189,0.8910616687482593,-0.6210327294342772,40131,2.23,2.56,2.17,2.54,2.06,1.2873764279245896
,42937,53.110508708,-27.710232743,,3.1157119120907955,1.67912031292051,1.11039354617976,13045.457996961211,42937,0.00627784,0.00615,1.0056,0.174181,1,0.48213,0.0337802,0.1,0.562841,0.783201,,,-1,0.0754,-1.0,3,0.0754,6.41,0.0073105,0.0027576,0.0045529,0.1,0.00627784,0.000271333,-0.0181454,-2.123,0.204,545.5102005257323,,,,,,,,,,,,,,GS2,53.110508708,-27.71023274299998,0.0175864272200635,GS5,0.1159884694920862,-13.166974,-13.954686,1.11039354617976,3.953439616239662e+38,-1.423024890111499,0.7791648670180402,0.6961979796114306,0.7730537434239207,2.752376673341842e+38,-1.5802921314977354,0.6218976256318038,0.6218976256318038,,0.7576500704472313,0.50326908157561,0.748286684389633,-0.5110295962772453,42937,-0.88,-0.86,1.06,-0.86,1.05,-0.5987302624658303
,38861,53.142513058,-27.72881650600001,,0.0590963882365437,0.651289715375845,0.804607845983755,14266.788038134757,38861,0.0327861,0.05278,0.592,0.143458,1,0.303384,0.0182471,0.2,0.262607,0.468338,,,-1,0.1156,-1.0,3,0.1156,6.5,0.0092441,0.0036143,0.0056298,0.19,0.0327861,0.00458294,-0.0831503,-1.3277,0.887,529.6597364260093,,,,,,,,,,,,,,GS3,53.142513058,-27.72881650600001,0.1128539811337564,GS3,0.1128539811337564,-14.142447,-14.767873,0.804607845983755,2.7006643558520964e+38,-1.5885293874745798,-0.1042191466503941,0.2995268131801583,0.2410016239672658,8.089213879776237e+37,-2.112093681634206,-0.6277834408100209,-0.6277834408100209,,0.6277834408100209,-0.7253443662366184,0.8229052916632158,-0.6277834408100209,38861,-0.1,-0.06,1.12,-0.06,1.11,-0.017971608790809498
,38414,53.09795286709032,-27.7315287442874,,0.4712314170107142,1.37235875432192,1.19059968778796,13652.744767026868,38414,0.0348912,0.06477,3.0416,0.632502,1,0.40926,0.0515243,0.0,0.0921401,0.42785,,,-1,0.0636,-1.0,3,0.0636,6.58,-99.0,-99.0,0.00038706,0.29,0.0348912,0.0045762,-0.241874,-1.1793,0.941,294.93267423912715,,,,,,,,,,,,,,GS5,53.09795286709032,-27.7315287442874,0.0649566900956995,GS5,0.0649566900956995,-14.293942,-15.554941,1.19059968778796,1.2390931923166618e+38,-1.9268960290663488,-0.4696119352991044,1.1178867334508418,1.3309555958288746,1.3851658412000486e+38,-1.8784982268837995,-0.4212141331165551,-0.4212141331165551,2.311003987804181,0.6248405332209124,-0.5000482864279558,0.6931408772175149,-0.5354725705947134,38414,-0.47,-0.47,1.0,-0.47,1.0,-0.5254067647218956
